entry_date,exit_date,days_held,leg,expiry,strike,entry_time,exit_time,entry_price,exit_price,lot_size,gross_pnl,charges,net_pnl,exit_reason
20251110,20251111,2,FUTURES,2025-11-25,,2025-11-10 09:30:00.895000+05:30,2025-11-11 15:26:59.274000+05:30,58242.2,58392.0,35,5243.0,387.95,4855.05,Profitable
20251110,20251111,2,PUT_ITM,2025-11-25,57900.0,2025-11-10 09:30:00.905000+05:30,2025-11-11 15:26:59.481000+05:30,425.65,346.85,35,-2758.0,77.24,-2835.24,Profitable
20251126,20251126,1,FUTURES,2025-12-30,,2025-11-26 09:30:00.040000+05:30,2025-11-26 15:26:59.818000+05:30,59433.0,59836.0,35,14105.0,395.99,13709.01,Profitable
20251126,20251126,1,PUT_ITM,2025-12-30,58800.0,2025-11-26 09:30:00.031000+05:30,2025-11-26 15:26:59.208000+05:30,512.05,403.25,35,-3808.0,82.4,-3890.4,Profitable
20260101,20260101,1,FUTURES,2026-01-27,,2026-01-01 09:30:00.357000+05:30,2026-01-01 15:26:59.659000+05:30,59903.8,59959.6,30,1674.0,347.24,1326.76,Profitable
20260101,20260101,1,PUT_ITM,2026-01-27,60000.0,2026-01-01 09:30:00.363000+05:30,2026-01-01 15:26:59.008000+05:30,662.75,632.05,30,-921.0,92.6,-1013.6,Profitable
20260102,20260102,1,FUTURES,2026-01-27,,2026-01-02 09:30:00.415000+05:30,2026-01-02 15:26:59.444000+05:30,60185.8,60378.8,30,5790.0,349.16,5440.84,Profitable
20260102,20260102,1,PUT_ITM,2026-01-27,60300.0,2026-01-02 09:30:01.014000+05:30,2026-01-02 15:26:59.872000+05:30,666.25,576.95,30,-2679.0,89.47,-2768.47,Profitable
20260128,20260129,2,FUTURES,2026-02-24,,2026-01-28 09:30:00.474000+05:30,2026-01-29 15:26:59.895000+05:30,59844.8,60240.0,30,11856.0,348.2,11507.8,Profitable
20260128,20260129,2,PUT_ITM,2026-02-24,59900.0,2026-01-28 09:30:00.679000+05:30,2026-01-29 15:26:59.846000+05:30,973.7,725.0,30,-7461.0,102.16,-7563.16,Profitable
20260130,20260203,5,FUTURES,2026-02-24,,2026-01-30 09:30:00.166000+05:30,2026-02-03 15:26:59.073000+05:30,59888.4,60209.6,30,9636.0,348.14,9287.86,Profitable
20260130,20260203,5,PUT_ITM,2026-02-24,60000.0,2026-01-30 09:30:00.225000+05:30,2026-02-03 15:26:59.473000+05:30,936.7,657.95,30,-8362.5,97.8,-8460.3,Profitable
20260204,20260209,6,FUTURES,2026-02-24,,2026-02-04 09:30:00.093000+05:30,2026-02-09 15:26:59.378000+05:30,60337.0,60740.0,30,12090.0,350.69,11739.31,Profitable
20260204,20260209,6,PUT_ITM,2026-02-24,60400.0,2026-02-04 09:30:00.646000+05:30,2026-02-09 15:26:59.226000+05:30,752.1,395.9,30,-10686.0,80.19,-10766.19,Profitable
20260210,20260217,8,FUTURES,2026-02-24,,2026-02-10 09:30:00.346000+05:30,2026-02-17 15:26:59.688000+05:30,60768.8,61116.6,30,10434.0,352.65,10081.35,Profitable
20260210,20260217,8,PUT_ITM,2026-02-24,60900.0,2026-02-10 09:30:00.347000+05:30,2026-02-17 15:26:59.691000+05:30,570.9,310.0,30,-7827.0,72.79,-7899.79,Profitable
20260218,20260218,1,FUTURES,2026-02-24,,2026-02-18 09:30:00.235000+05:30,2026-02-18 15:26:59.210000+05:30,61144.8,61498.6,30,10614.0,354.55,10259.45,Profitable
20260218,20260218,1,PUT_ITM,2026-02-24,61200.0,2026-02-18 09:30:00.798000+05:30,2026-02-18 15:26:59.527000+05:30,390.3,236.95,30,-4600.5,66.14,-4666.64,Profitable
20260219,20260224,6,FUTURES,2026-02-24,,2026-02-19 09:30:00.499000+05:30,2026-02-24 15:26:59.301000+05:30,61392.0,61059.2,30,-9984.0,353.25,-10337.25,Expiry
20260219,20260224,6,PUT_ITM,2026-02-24,61500.0,2026-02-19 09:30:00.061000+05:30,2026-02-24 15:26:59.863000+05:30,371.8,451.05,30,2377.5,78.23,2299.27,Expiry
20260401,20260407,7,FUTURES,2026-04-28,,2026-04-01 09:30:00.525000+05:30,2026-04-07 15:26:59.880000+05:30,52012.6,52880.0,30,26022.0,310.75,25711.25,Profitable
20260401,20260407,7,PUT_ITM,2026-04-28,52100.0,2026-04-01 09:30:00.735000+05:30,2026-04-07 15:26:59.680000+05:30,1632.1,1170.7,30,-13842.0,136.76,-13978.76,Profitable
20260408,20260408,1,FUTURES,2026-04-28,,2026-04-08 09:30:00.046000+05:30,2026-04-08 15:26:59.278000+05:30,55099.6,55961.8,30,25866.0,326.18,25539.82,Profitable
20260408,20260408,1,PUT_ITM,2026-04-28,55200.0,2026-04-08 09:30:00.399000+05:30,2026-04-08 15:26:59.987000+05:30,1196.9,782.0,30,-12447.0,108.47,-12555.47,Profitable
20260409,20260410,2,FUTURES,2026-04-28,,2026-04-09 09:30:00.933000+05:30,2026-04-10 15:26:59.853000+05:30,55680.0,56101.0,30,12630.0,327.45,12302.55,Profitable
20260409,20260410,2,PUT_ITM,2026-04-28,55800.0,2026-04-09 09:30:00.122000+05:30,2026-04-10 15:26:59.613000+05:30,1155.0,879.0,30,-8280.0,113.49,-8393.49,Profitable
